,No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi,Lulus Tepat Waktu
134,135,1202160288,4.0,4.0,3.5,4.0,2.5,4.0,4.0,4.0,4.0,4.0,3.5,4.0,3.5,4.0,3.5,3.5,4.0,3.5,3.0,1
135,136,1202160292,3.5,3.5,3.5,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,3.5,4.0,3.5,3.0,3.0,3.5,3.5,2.0,1
136,137,1202160293,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.0,1
137,138,1202160294,4.0,3.5,3.5,3.5,4.0,4.0,3.0,4.0,3.5,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,1
138,139,1202160295,3.0,2.5,0.0,3.0,2.5,1.0,0.0,2.0,1.0,2.5,2.0,1.0,3.0,3.0,3.0,3.5,3.0,2.0,3.5,1
139,140,1202160297,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.5,0
140,141,1202160299,2.5,3.5,3.0,3.5,3.5,1.0,3.5,2.5,3.0,3.0,2.5,3.0,3.5,2.5,2.0,3.0,3.5,3.0,2.5,1
141,142,1202160300,2.5,3.5,3.5,4.0,3.0,1.0,2.5,3.5,3.5,3.0,3.0,3.5,3.5,3.0,1.0,3.5,3.5,2.5,1.0,1
142,143,1202160303,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,3.5,4.0,3.5,3.5,4.0,1
143,144,1202160308,3.5,3.0,0.0,3.5,2.0,0.0,2.5,3.5,3.0,2.5,2.5,3.0,2.5,2.0,1.0,2.0,2.0,2.0,1.0,0
144,145,1202160313,2.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,3.5,2.5,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0
145,146,1202160316,3.5,3.0,3.5,4.0,3.5,2.5,3.0,4.0,3.0,3.5,3.0,3.0,4.0,2.5,2.0,3.5,3.0,3.5,2.5,1
146,147,1202160320,3.0,3.0,2.0,3.5,3.0,3.5,3.0,3.5,2.5,3.0,3.0,3.0,3.5,2.0,2.0,2.5,3.5,3.0,2.5,1
147,148,1202160321,3.5,3.0,3.5,2.0,3.5,3.0,2.5,3.5,3.5,3.5,3.0,3.0,2.5,2.5,2.5,3.5,3.0,2.5,2.5,1
148,149,1202160322,3.0,3.5,3.0,3.0,3.5,1.0,3.5,2.0,2.5,3.5,2.0,2.0,3.0,3.5,3.0,3.5,3.5,2.5,3.0,1
149,150,1202160324,3.5,3.5,4.0,3.5,2.5,3.0,1.0,3.5,2.0,3.5,3.0,3.5,4.0,4.0,3.5,3.0,3.5,4.0,2.5,1
150,151,1202160325,4.0,4.0,4.0,3.5,2.0,3.5,4.0,4.0,3.0,3.5,2.5,3.5,4.0,2.5,3.5,3.5,4.0,4.0,3.0,1
151,152,1202160326,3.5,3.5,3.5,4.0,3.5,2.0,3.5,3.0,2.5,3.5,3.5,0.0,3.5,3.5,1.0,2.5,3.5,3.5,2.5,0
152,153,1202160327,2.5,2.5,3.5,3.5,3.5,0.0,1.0,2.5,3.5,3.0,2.5,3.5,3.5,3.0,2.0,2.0,3.0,2.0,2.0,1
153,154,1202160330,2.0,1.0,0.0,3.0,1.0,1.0,2.0,3.5,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0
154,155,1202160332,4.0,3.5,4.0,3.5,2.0,3.5,2.0,3.5,3.0,3.5,2.5,2.0,4.0,3.5,3.0,2.5,3.0,3.5,2.0,1
155,156,1202160333,3.0,3.5,3.5,3.5,2.5,3.0,2.5,3.5,2.0,3.5,2.5,3.5,0.0,2.5,3.0,2.5,3.5,3.5,2.5,1
156,157,1202160338,2.0,2.5,2.0,3.0,0.0,1.0,1.0,2.5,2.0,2.5,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0
157,158,1202160339,3.5,3.5,3.5,3.5,3.5,2.0,3.0,3.5,2.5,3.5,2.0,2.0,3.5,4.0,3.5,3.5,3.5,2.5,3.5,1
158,159,1202160340,4.0,3.5,3.5,2.0,3.5,2.5,3.5,3.5,3.5,3.5,3.0,3.0,3.5,4.0,3.5,3.5,4.0,3.5,1.0,1
159,160,1202160341,3.5,3.5,3.5,3.5,2.5,3.5,3.0,2.5,3.0,3.5,3.0,4.0,4.0,2.5,3.0,3.0,4.0,4.0,2.5,1
160,161,1202160342,2.5,3.5,3.5,3.5,3.5,3.0,3.5,3.5,2.5,3.0,2.5,3.5,3.5,2.5,2.0,2.5,2.0,3.0,2.5,1
161,162,1202160347,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0
162,163,1202160352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
163,164,1202160353,3.5,3.0,3.5,4.0,3.5,3.5,4.0,3.5,3.5,3.5,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.5,1
164,165,1202160354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
165,166,1202160355,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.5,0
166,167,1202160357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
167,168,1202160358,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.0,3.0,3.5,3.0,1.0,3.5,2.5,3.0,2.0,1
168,169,1202160360,3.5,3.0,3.5,3.5,3.5,2.0,2.5,3.5,3.5,2.5,3.0,3.5,3.0,3.5,2.5,3.0,3.5,3.0,2.5,1
169,170,1202160362,2.5,2.0,2.0,2.5,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0
170,171,1202160365,4.0,3.5,3.0,2.5,3.0,3.5,3.5,3.5,3.0,3.0,2.5,3.0,4.0,3.5,3.0,3.5,3.5,3.5,2.0,1
171,172,1202160370,3.0,2.5,2.0,3.0,3.5,2.0,3.0,3.5,3.5,2.5,3.0,2.5,3.5,2.0,1.0,2.0,4.0,2.5,2.0,0
172,173,1202160372,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,3.5,3.0,3.5,1
173,174,1202160375,2.0,3.5,3.0,3.5,2.0,2.5,3.5,2.0,0.0,2.0,2.0,0.0,3.0,2.5,2.5,2.5,2.5,3.5,2.0,0
174,175,1202160380,4.0,2.0,3.0,2.5,4.0,1.0,2.5,4.0,2.0,3.0,3.5,2.0,0.0,1.0,2.0,2.5,0.0,3.5,2.0,1
175,176,1202160381,3.0,2.5,3.5,3.0,3.5,2.0,3.5,3.5,2.0,3.5,2.5,3.5,3.0,3.5,3.5,4.0,2.5,2.0,2.5,1
176,177,1202160382,4.0,3.5,3.5,3.5,3.5,4.0,4.0,4.0,3.5,4.0,3.5,3.5,3.5,3.5,4.0,4.0,3.0,3.0,3.5,1
177,178,1202160383,3.5,3.5,3.5,3.5,3.0,2.0,2.0,3.5,2.0,3.5,2.5,3.5,3.5,4.0,3.0,3.0,3.5,2.0,2.5,1
178,179,1202160385,4.0,3.5,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.5,2.5,3.5,3.5,3.5,3.0,3.0,3.5,4.0,2.5,1
179,180,1202160396,1.0,3.0,3.0,2.0,2.5,2.0,2.0,2.5,3.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,2.5,3.5,1
180,181,1202160398,3.0,2.5,2.5,2.5,2.5,1.0,2.5,3.5,2.0,2.5,3.5,1.0,2.0,2.0,3.0,2.0,2.5,2.0,2.0,0
181,182,1202160400,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,0
182,183,1202161228,4.0,4.0,4.0,4.0,3.5,3.5,4.0,4.0,3.5,4.0,3.5,4.0,4.0,3.5,4.0,3.0,3.5,4.0,0.0,0
183,184,1202162004,3.0,3.5,2.0,3.5,1.0,3.0,2.5,3.5,1.0,3.5,2.0,2.0,2.5,3.5,3.5,3.0,2.5,2.5,2.5,1
184,185,1202162006,3.5,4.0,4.0,3.5,3.0,3.5,4.0,3.5,2.0,3.5,2.5,4.0,3.5,3.5,3.0,3.5,4.0,4.0,3.0,1
185,186,1202162042,4.0,3.5,3.5,3.5,3.5,3.0,4.0,3.0,3.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,2.5,3.0,1
186,187,1202162097,3.5,3.5,3.5,3.0,3.5,2.0,2.0,3.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.5,1.0,3.0,2.5,1
187,188,1202162137,4.0,3.5,3.5,3.5,3.5,3.5,4.0,4.0,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,2.0,1
188,189,1202162144,3.5,3.5,3.5,4.0,4.0,3.5,4.0,4.0,3.5,4.0,3.5,4.0,4.0,4.0,2.5,4.0,4.0,3.0,3.0,1
189,190,1202162175,4.0,4.0,4.0,3.5,2.5,3.5,4.0,4.0,3.5,3.5,3.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,3.0,1
190,191,1202162198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
191,192,1202162252,4.0,3.5,3.5,3.5,3.5,3.5,2.0,2.5,3.0,2.5,2.5,3.0,3.5,3.5,4.0,3.5,3.0,2.5,3.0,1
192,193,1202162274,4.0,2.0,3.0,4.0,2.5,3.0,3.5,4.0,3.5,4.0,2.5,4.0,4.0,2.5,3.0,3.5,3.5,3.5,3.0,1
193,194,1202162310,3.5,3.0,3.5,3.0,3.0,2.0,2.0,3.0,3.5,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,2.0,3.0,1
194,195,1202162319,3.0,3.5,2.0,3.5,3.0,3.5,3.0,2.5,2.5,3.5,3.0,4.0,3.5,3.5,2.0,3.5,3.5,3.0,2.5,1
195,196,1202162336,4.0,3.5,3.5,3.5,3.5,1.0,3.5,4.0,4.0,2.5,3.5,1.0,3.5,3.5,3.5,3.5,3.5,3.0,2.5,0
196,197,1202162337,4.0,3.5,3.0,3.5,3.5,3.0,2.5,3.0,3.5,3.5,2.5,3.5,3.0,3.5,3.0,3.5,3.5,3.0,3.5,1
197,198,1202162343,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,1
198,199,1202162356,3.5,3.0,3.5,2.5,3.0,2.0,1.0,3.5,2.0,2.5,2.0,0.0,3.0,3.0,3.0,3.0,2.5,3.5,1.0,0
199,200,1202162369,3.0,3.0,0.0,3.0,3.0,1.0,3.5,2.5,2.0,3.0,2.5,2.0,2.5,1.0,2.0,2.5,3.5,2.5,2.5,0
200,201,1202162376,3.0,3.0,2.5,3.5,3.5,3.0,3.0,3.5,2.5,3.5,3.0,3.5,3.5,2.5,2.0,3.5,4.0,2.5,2.5,1
201,202,1202162378,3.0,2.5,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.5,3.5,3.5,3.5,2.0,2.0,3.0,3.5,2.0,3.0,1
202,203,1202162384,3.5,3.5,3.5,2.5,2.0,3.0,4.0,4.0,2.5,3.5,3.0,2.0,4.0,4.0,3.0,0.0,3.5,3.5,0.0,0
203,204,1202162386,2.5,3.5,2.5,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.5,3.5,3.5,2.0,2.0,3.5,2.0,3.5,1
204,205,1202162389,3.5,3.5,3.5,3.5,3.5,2.0,3.0,3.5,3.0,3.0,3.5,2.5,3.0,3.5,2.0,2.5,1.0,3.0,2.0,1
205,206,1202163018,4.0,3.5,3.5,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,1
206,207,1202163060,3.0,3.5,2.5,3.5,2.5,1.0,2.0,3.5,2.0,3.5,2.0,0.0,2.5,3.5,3.0,2.0,2.5,2.0,2.0,0
207,208,1202163099,3.0,3.5,3.5,3.5,3.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,3.5,3.5,2.0,3.0,3.0,2.0,3.5,1
208,209,1202163104,2.5,3.5,3.5,4.0,3.5,0.0,2.0,3.0,3.5,3.0,2.5,4.0,3.5,3.5,2.0,2.5,3.5,2.5,2.0,1
209,210,1202163115,3.5,3.5,3.5,3.5,4.0,2.5,3.0,3.0,3.0,2.5,2.0,3.5,3.5,4.0,3.5,4.0,3.5,2.5,3.0,1
210,211,1202163119,3.5,3.5,3.5,3.5,4.0,1.0,3.5,4.0,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,1
211,212,1202163163,4.0,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.0,3.5,3.0,4.0,3.5,4.0,3.5,3.5,3.5,2.5,3.0,1
212,213,1202163170,3.0,3.5,3.5,3.5,2.5,2.0,3.0,3.5,2.5,2.0,3.0,3.0,3.0,3.0,3.5,3.0,2.0,2.5,2.0,1
213,214,1202163220,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
214,215,1202163239,4.0,3.5,2.5,2.5,3.0,3.5,3.0,3.5,2.5,3.0,2.5,2.0,3.5,3.0,3.0,3.0,3.0,3.5,2.0,0
215,216,1202163246,4.0,3.5,3.0,3.5,3.5,3.0,3.5,4.0,2.0,3.5,2.0,3.0,3.5,4.0,3.5,3.5,3.5,3.0,3.0,1
216,217,1202163259,3.5,3.5,4.0,4.0,3.5,3.5,4.0,4.0,4.0,3.5,2.5,4.0,4.0,3.5,4.0,4.0,3.5,3.5,2.5,1
217,218,1202163291,3.0,3.0,2.5,1.0,0.0,1.0,2.5,2.5,2.0,3.5,2.5,2.0,2.5,1.0,1.0,0.0,2.0,3.0,3.0,0
218,219,1202163296,3.5,3.5,3.0,3.5,2.0,3.5,3.5,3.5,2.0,3.5,2.5,2.5,3.0,4.0,3.5,3.5,3.0,2.0,3.0,1
219,220,1202163401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0
220,221,1202163402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0
221,222,1202164001,4.0,3.5,3.5,4.0,3.5,3.0,3.5,4.0,3.5,3.5,3.5,3.5,3.0,4.0,3.5,3.5,3.5,3.5,3.5,1
222,223,1202164003,2.0,3.0,3.0,3.5,2.5,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.5,3.0,2.5,3.5,3.5,2.0,2.0,1
223,224,1202164005,4.0,3.5,3.5,3.0,2.0,3.5,2.0,3.5,2.0,3.0,2.0,2.5,3.0,4.0,3.5,2.5,3.0,3.5,1.0,0
224,225,1202164007,3.5,3.5,3.5,4.0,3.5,1.0,3.5,3.5,3.5,3.0,3.5,3.5,4.0,3.5,3.5,3.5,3.0,3.5,2.5,1
225,226,1202164008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
226,227,1202164012,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.0,3.5,2.5,3.5,3.5,4.0,3.5,4.0,3.0,2.5,3.0,1
227,228,1202164014,3.5,3.5,3.5,3.5,2.0,3.5,3.0,3.5,3.0,3.0,2.0,4.0,3.5,2.5,2.5,2.5,3.5,3.5,2.5,1
228,229,1202164016,4.0,3.0,3.5,4.0,4.0,3.5,2.5,4.0,3.5,2.5,3.0,3.5,3.5,3.0,1.0,3.5,3.5,3.0,2.0,1
229,230,1202164017,3.5,3.0,2.5,3.5,3.0,1.0,2.5,3.5,2.5,2.0,3.0,3.0,2.5,3.0,2.0,3.0,2.5,3.5,2.0,1
230,231,1202164021,3.5,3.5,3.5,3.5,2.5,3.5,3.0,3.5,2.5,3.5,3.5,2.5,3.5,3.5,3.0,2.0,3.0,4.0,2.0,1
231,232,1202164022,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
232,233,1202164025,3.5,3.0,3.5,3.5,3.5,2.0,3.5,3.5,3.0,3.0,3.5,3.5,3.0,3.5,3.5,4.0,3.5,3.5,3.0,1
233,234,1202164026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
234,235,1202164027,3.5,3.0,3.5,3.5,3.5,3.5,3.5,2.0,3.0,2.5,2.5,3.5,3.5,4.0,3.0,3.5,3.0,2.5,3.0,1
235,236,1202164029,3.5,3.5,3.5,3.5,3.0,3.0,2.5,4.0,2.5,3.0,2.0,3.0,4.0,4.0,3.5,3.0,2.5,3.5,2.5,1
236,237,1202164031,3.0,3.5,3.5,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.0,3.5,4.0,3.5,2.0,4.0,3.0,3.5,3.0,1
237,238,1202164032,4.0,3.0,3.5,4.0,4.0,2.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,3.5,2.5,4.0,3.5,3.5,2.0,1
238,239,1202164033,2.5,3.0,3.0,2.5,3.5,0.0,2.0,3.0,2.5,2.0,3.0,0.0,2.5,2.5,3.0,2.0,1.0,3.0,2.0,0
239,240,1202164035,2.5,3.0,0.0,3.0,2.0,2.5,2.0,2.0,2.5,2.5,2.0,2.0,2.5,3.0,2.5,2.0,2.5,2.0,3.0,1
240,241,1202164037,3.5,1.0,3.5,3.0,2.0,2.0,2.0,3.5,2.5,3.5,2.0,3.0,3.5,3.5,3.0,2.0,3.5,3.5,2.0,0
241,242,1202164038,3.0,3.5,3.5,3.5,2.5,3.5,3.0,3.5,3.5,3.5,2.0,4.0,3.5,3.0,3.0,2.5,3.5,3.5,2.0,1
242,243,1202164039,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,4.0,3.5,3.5,3.5,3.5,1
243,244,1202164040,3.0,3.5,3.5,4.0,3.5,2.5,3.5,4.0,3.0,4.0,3.5,4.0,3.5,3.0,2.5,3.0,3.5,2.5,3.5,1
244,245,1202164049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
245,246,1202164056,2.5,3.0,3.5,3.5,3.5,2.5,2.5,3.0,3.5,2.5,3.5,4.0,3.5,3.0,2.5,2.5,3.5,2.5,2.5,1
246,247,1202164058,4.0,3.5,3.5,4.0,4.0,2.5,3.5,4.0,4.0,4.0,3.5,2.5,3.5,4.0,4.0,4.0,3.5,4.0,2.5,1
247,248,1202164064,2.0,2.5,3.5,3.5,3.0,0.0,1.0,3.5,1.0,2.5,2.5,3.5,3.5,2.0,1.0,2.0,3.0,2.0,2.5,0
248,249,1202164065,3.5,3.5,3.5,3.5,3.5,2.0,3.5,3.5,3.0,3.0,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1
249,250,1202164068,3.0,3.5,2.5,3.0,3.5,2.0,2.5,4.0,2.5,3.0,1.0,2.5,3.5,4.0,3.0,3.0,2.5,2.0,2.0,1
250,251,1202164069,2.5,3.0,3.5,2.5,2.0,2.5,2.0,3.5,2.0,2.5,1.0,1.0,3.0,3.5,2.5,2.0,2.0,3.5,3.0,1
251,252,1202164071,3.0,3.5,3.5,3.5,3.5,2.0,2.5,3.5,3.5,3.0,2.5,3.5,3.5,2.5,1.0,2.0,3.0,3.0,2.0,1
252,253,1202164072,4.0,3.5,3.5,4.0,4.0,4.0,3.5,4.0,3.5,3.5,3.5,3.5,4.0,3.5,2.0,4.0,3.5,3.0,3.0,1
253,254,1202164073,3.5,3.5,3.0,3.5,3.5,2.5,2.0,4.0,2.5,3.5,3.5,3.5,3.0,3.5,2.5,2.5,3.5,2.5,2.5,1
254,255,1202164075,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
255,256,1202164077,3.5,3.5,3.5,3.5,3.0,3.5,3.5,4.0,2.5,3.0,2.5,3.5,3.5,4.0,3.5,3.5,3.5,4.0,2.0,1
256,257,1202164078,0.0,2.0,3.5,3.0,2.0,2.0,1.0,2.0,2.5,2.5,1.0,0.0,2.0,1.0,2.5,2.0,2.0,3.0,2.5,0
257,258,1202164079,2.5,3.5,3.5,3.5,3.0,2.0,2.5,3.0,3.0,3.0,2.5,3.5,3.5,2.0,2.0,2.0,3.0,3.0,2.5,1
258,259,1202164081,3.5,3.5,3.5,3.5,3.5,2.5,3.0,3.5,2.5,2.5,3.5,3.5,3.5,3.0,3.5,3.0,3.5,3.0,2.5,1
259,260,1202164085,4.0,3.5,3.5,3.5,4.0,3.5,3.5,4.0,4.0,3.5,2.0,3.5,3.5,4.0,4.0,4.0,3.0,4.0,2.5,1
260,261,1202164087,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.0,4.0,3.5,1
261,262,1202164090,3.5,3.0,3.0,3.5,3.5,2.5,3.0,3.5,3.0,3.5,3.0,4.0,2.5,3.0,3.0,3.0,2.5,2.5,2.0,1
262,263,1202164091,3.0,3.5,2.5,3.5,3.0,1.0,2.0,2.5,2.0,3.0,1.0,2.5,3.0,3.5,2.5,3.5,3.0,2.0,3.0,1
263,264,1202164092,4.0,4.0,3.5,4.0,3.5,3.5,4.0,4.0,3.0,3.5,2.0,3.5,3.5,4.0,4.0,4.0,3.0,3.5,2.5,1
264,265,1202164094,2.0,3.0,3.0,3.0,1.0,2.5,3.5,2.0,2.0,3.0,1.0,0.0,2.0,2.0,2.5,2.0,1.0,3.5,2.5,1
265,266,1202164100,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
266,267,1202164102,3.0,2.5,2.0,3.0,0.0,2.0,3.5,2.0,0.0,2.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.5,2.5,0
267,268,1202164106,3.5,2.5,3.0,3.0,3.5,2.0,1.0,2.5,2.5,2.5,2.0,2.5,3.0,3.5,3.0,2.5,2.0,2.0,3.5,1
