,No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi,Lulus Tepat Waktu
268,269,1202164108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
269,270,1202164109,3.0,3.5,3.0,2.5,2.0,3.0,1.0,3.0,2.5,3.0,1.0,2.0,3.5,2.5,2.0,2.0,2.5,3.0,1.0,0
270,271,1202164113,4.0,4.0,3.5,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.5,3.5,4.0,3.5,3.5,1
271,272,1202164114,3.5,3.5,3.5,4.0,3.5,3.0,4.0,3.5,3.0,3.5,3.5,4.0,3.5,3.5,3.0,4.0,3.0,2.5,3.5,1
272,273,1202164116,3.5,3.5,2.0,3.5,3.5,2.0,3.5,3.5,2.5,3.0,2.0,2.5,3.0,3.5,3.5,3.0,2.5,2.0,3.0,1
273,274,1202164121,4.0,3.5,3.5,3.5,4.0,3.5,3.5,4.0,2.5,3.5,3.5,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0,1
274,275,1202164122,3.5,3.5,3.5,3.5,4.0,3.5,3.5,3.5,4.0,4.0,3.5,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.5,1
275,276,1202164123,4.0,4.0,4.0,3.5,2.5,3.0,2.0,4.0,3.0,2.0,3.5,2.5,3.5,4.0,4.0,3.5,4.0,3.0,3.0,1
276,277,1202164125,4.0,3.5,3.5,3.5,3.5,4.0,4.0,4.0,3.5,3.5,2.5,4.0,4.0,4.0,3.5,3.0,3.5,4.0,2.5,1
277,278,1202164128,2.5,3.0,3.5,4.0,3.5,1.0,3.0,3.5,3.0,3.0,2.5,3.5,4.0,2.0,2.0,2.0,3.5,3.0,2.0,0
278,279,1202164129,4.0,3.5,4.0,3.5,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,3.5,1
279,280,1202164131,4.0,3.5,3.5,3.5,3.5,3.5,4.0,4.0,3.0,3.5,2.0,4.0,3.5,4.0,3.5,3.0,3.5,3.0,3.0,1
280,281,1202164136,3.5,3.5,3.5,4.0,3.5,3.5,4.0,4.0,3.5,3.5,2.5,4.0,4.0,3.5,2.0,3.5,3.5,2.5,2.0,1
281,282,1202164139,3.5,3.5,3.0,3.5,3.5,1.0,2.0,3.5,2.0,2.5,2.0,2.0,3.0,4.0,3.0,2.0,3.5,2.0,3.0,0
282,283,1202164140,4.0,4.0,3.0,4.0,4.0,2.5,3.5,3.5,3.0,4.0,2.5,3.5,3.5,4.0,3.5,4.0,3.5,3.5,3.5,1
283,284,1202164142,3.5,3.5,4.0,3.5,3.0,3.5,4.0,4.0,3.5,3.5,3.0,4.0,3.5,3.5,3.5,3.5,4.0,4.0,3.0,1
284,285,1202164143,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.0,4.0,4.0,3.5,2.0,3.0,3.5,3.5,3.5,1
285,286,1202164146,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.5,3.5,4.0,3.5,4.0,4.0,3.0,2.5,1
286,287,1202164147,3.5,3.5,3.5,3.5,2.0,3.0,3.0,3.5,2.0,2.5,2.0,2.0,2.5,4.0,2.5,2.5,3.0,2.0,2.5,1
287,288,1202164149,3.0,3.5,3.5,3.5,2.5,3.5,2.0,3.5,2.5,3.5,2.0,2.5,4.0,4.0,2.5,2.5,3.5,3.5,2.5,1
288,289,1202164150,3.5,4.0,4.0,3.5,3.5,3.0,2.5,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,3.5,4.0,4.0,3.5,1
289,290,1202164152,0.0,3.0,3.0,3.5,2.5,1.0,2.0,3.5,2.0,2.5,2.5,2.5,3.0,2.0,2.0,1.0,3.0,2.5,2.0,1
290,291,1202164156,4.0,4.0,3.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,2.5,4.0,3.5,4.0,3.5,4.0,4.0,3.5,3.5,1
291,292,1202164157,3.5,3.0,3.5,3.5,3.5,2.5,2.0,4.0,2.5,3.0,2.0,2.0,3.0,3.5,3.5,2.0,3.0,4.0,1.0,0
292,293,1202164158,3.0,4.0,3.5,3.5,2.5,2.5,3.0,4.0,3.5,3.5,2.0,3.0,2.0,3.0,3.5,3.5,3.5,4.0,2.0,1
293,294,1202164159,1.0,2.0,3.5,3.5,2.0,0.0,2.5,2.5,2.0,3.5,2.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,0
294,295,1202164161,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,3.0,3.5,3.5,2.5,3.5,3.5,3.0,3.0,3.5,2.0,1
295,296,1202164162,3.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0,2.5,2.5,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1
296,297,1202164164,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
297,298,1202164165,4.0,4.0,3.5,3.5,3.5,4.0,3.5,3.5,3.0,4.0,3.5,4.0,3.5,3.5,3.0,3.5,4.0,3.5,0.0,0
298,299,1202164166,2.0,3.5,3.5,2.5,2.0,3.5,3.0,4.0,2.5,3.0,2.0,1.0,3.0,4.0,2.5,2.5,2.5,3.5,2.0,1
299,300,1202164168,3.5,3.5,3.5,4.0,3.5,2.0,2.0,3.5,3.5,3.0,2.5,3.5,3.5,2.5,2.5,3.0,3.5,3.0,2.5,1
300,301,1202164172,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,1
301,302,1202164174,4.0,3.5,3.5,3.0,3.0,2.0,2.0,3.5,2.0,3.0,2.5,2.0,3.0,2.0,3.0,2.0,2.5,3.5,4.0,1
302,303,1202164176,3.0,3.0,3.5,3.5,3.5,2.0,3.5,3.5,2.0,3.0,2.5,3.5,3.5,2.5,1.0,3.5,3.5,2.5,2.0,1
303,304,1202164177,3.0,3.5,3.5,4.0,3.5,4.0,4.0,4.0,3.5,4.0,3.5,4.0,4.0,3.5,2.0,3.5,3.5,2.5,3.0,1
304,305,1202164181,2.5,3.5,0.0,3.5,2.0,1.0,1.0,1.0,2.5,3.5,2.0,0.0,2.5,0.0,0.0,2.5,0.0,2.0,2.0,0
305,306,1202164187,3.0,3.5,3.0,3.5,3.5,1.0,2.0,2.0,2.5,2.0,2.5,3.5,3.0,3.5,3.5,3.5,2.5,2.0,3.0,1
306,307,1202164188,3.5,3.5,3.5,3.5,2.0,3.0,3.0,2.5,2.0,3.5,2.0,3.5,2.5,4.0,3.0,3.0,3.5,2.5,3.0,1
307,308,1202164189,3.5,3.5,3.0,3.5,2.5,2.5,3.5,4.0,2.5,3.5,2.5,3.5,3.0,4.0,3.0,3.5,3.0,3.0,3.0,1
308,309,1202164193,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.0,4.0,4.0,4.0,2.5,1
309,310,1202164194,4.0,3.0,3.5,3.5,3.5,2.0,3.5,3.5,3.5,3.0,4.0,3.5,2.5,3.5,3.5,4.0,3.5,4.0,3.5,1
310,311,1202164199,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,0.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
311,312,1202164201,3.5,3.0,3.0,4.0,4.0,3.5,4.0,4.0,3.5,3.0,3.0,3.5,4.0,3.0,2.0,3.0,3.5,3.0,2.0,1
312,313,1202164203,3.5,3.5,4.0,3.5,3.5,4.0,4.0,4.0,3.5,4.0,3.5,4.0,3.5,4.0,2.5,3.5,4.0,2.5,3.0,1
313,314,1202164204,4.0,3.5,3.5,3.5,4.0,3.5,4.0,4.0,3.0,3.5,2.5,3.5,3.5,4.0,3.0,3.5,3.0,2.0,3.5,1
314,315,1202164207,4.0,3.5,4.0,3.5,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,3.0,1
315,316,1202164208,2.0,1.0,3.5,2.0,0.0,1.0,2.5,3.5,2.0,2.0,2.5,3.0,0.0,2.0,1.0,0.0,0.0,2.5,0.0,0
316,317,1202164209,2.0,2.0,3.5,3.5,3.5,0.0,1.0,3.5,2.0,2.5,2.5,2.5,3.0,2.0,1.0,1.0,2.5,2.0,1.0,0
317,318,1202164211,2.5,2.0,3.0,3.0,3.5,2.0,2.0,2.5,2.0,2.5,2.5,3.5,3.0,2.5,3.0,3.0,2.0,2.0,2.0,1
318,319,1202164213,4.0,4.0,3.5,3.5,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,3.5,1
319,320,1202164221,3.5,3.0,2.5,3.0,2.0,2.0,1.0,3.5,2.0,3.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,1
320,321,1202164223,3.5,3.5,4.0,3.5,3.0,3.5,3.5,4.0,3.5,4.0,2.5,3.5,3.5,3.0,3.5,3.5,4.0,4.0,2.5,1
321,322,1202164224,3.5,3.5,3.5,4.0,4.0,3.5,4.0,4.0,3.0,3.5,2.5,4.0,4.0,3.5,3.0,3.5,3.5,3.5,3.5,1
322,323,1202164225,4.0,3.0,4.0,4.0,3.5,3.5,3.5,4.0,3.0,4.0,3.5,4.0,4.0,3.5,2.5,4.0,3.5,3.0,3.0,1
323,324,1202164226,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0
324,325,1202164230,3.0,3.5,3.5,3.5,3.5,3.0,3.5,3.5,3.0,3.5,2.0,3.0,3.5,4.0,3.0,3.5,3.0,2.5,3.0,1
325,326,1202164231,2.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0
326,327,1202164233,3.0,3.0,3.5,4.0,3.0,1.0,3.5,3.5,3.5,3.0,2.5,3.5,3.5,3.0,1.0,2.5,3.0,3.0,2.5,1
327,328,1202164235,3.5,3.0,0.0,2.5,2.0,0.0,1.0,3.5,2.0,2.5,2.5,2.0,2.0,2.5,3.0,2.5,2.0,2.5,2.0,1
328,329,1202164238,4.0,3.0,3.5,3.5,2.5,2.0,2.5,3.5,2.5,3.5,2.5,3.0,3.0,4.0,2.5,3.0,3.5,2.5,2.5,1
329,330,1202164241,3.0,3.5,3.0,3.5,4.0,3.5,4.0,4.0,3.5,3.0,3.0,3.5,4.0,3.0,2.5,3.5,3.5,3.0,3.5,1
330,331,1202164242,3.5,3.5,4.0,4.0,3.5,3.5,3.5,4.0,3.5,3.0,3.0,3.0,4.0,3.5,2.0,3.5,3.5,2.5,3.0,1
331,332,1202164243,3.0,3.0,3.5,3.5,3.5,2.5,2.0,3.5,2.5,2.5,3.0,3.0,2.5,3.0,2.0,3.0,3.5,3.0,2.5,1
332,333,1202164244,3.0,3.5,3.5,4.0,3.5,2.0,2.5,3.5,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.5,3.0,2.0,3.0,1
333,334,1202164245,4.0,3.5,4.0,3.5,4.0,4.0,4.0,3.5,3.5,4.0,2.5,4.0,4.0,4.0,3.5,4.0,3.0,3.0,3.5,1
334,335,1202164249,2.5,3.5,4.0,3.5,3.5,1.0,3.0,3.5,3.0,3.5,2.5,3.5,4.0,3.0,2.0,3.5,4.0,3.5,2.5,1
335,336,1202164250,3.5,3.5,2.0,4.0,3.0,1.0,3.5,3.5,1.0,3.0,2.5,3.5,4.0,0.0,2.0,2.5,3.5,1.0,2.0,0
336,337,1202164254,2.5,3.5,2.0,3.0,3.0,3.5,2.5,3.5,2.5,2.0,3.0,2.5,3.5,3.0,2.0,2.5,3.5,2.0,3.0,1
337,338,1202164260,4.0,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.0,3.5,3.0,1
338,339,1202164261,3.5,3.5,3.5,4.0,3.5,3.0,2.5,4.0,2.0,3.0,3.5,3.5,3.5,4.0,3.0,3.5,3.0,2.5,2.5,1
339,340,1202164263,3.5,3.5,4.0,3.5,2.5,2.0,2.5,3.5,3.5,3.5,2.0,3.5,3.0,3.5,2.0,2.5,3.0,2.0,2.5,1
340,341,1202164270,3.5,3.0,4.0,3.5,2.0,3.0,2.5,3.0,2.5,3.5,2.0,3.0,2.5,4.0,3.0,3.5,3.0,2.0,2.5,1
341,342,1202164271,3.5,3.0,2.5,3.0,2.0,1.0,1.0,3.0,2.0,3.5,1.0,0.0,0.0,3.5,2.0,2.0,0.0,1.0,2.0,1
342,343,1202164272,4.0,3.5,3.5,3.0,2.0,2.0,1.0,3.0,2.0,2.5,2.0,0.0,3.5,3.0,2.0,2.0,2.5,3.0,1.0,0
343,344,1202164273,4.0,4.0,4.0,3.5,3.5,3.5,4.0,3.5,4.0,3.5,3.0,3.5,3.5,2.5,4.0,3.0,3.5,4.0,2.5,1
344,345,1202164275,2.0,3.0,3.5,3.5,3.5,0.0,1.0,3.5,3.0,2.5,2.5,3.0,3.0,2.0,2.0,2.0,3.5,2.0,2.0,0
345,346,1202164276,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.5,3.5,3.5,3.0,3.5,3.5,3.0,4.0,3.5,3.0,1
346,347,1202164279,2.5,3.0,3.0,3.5,3.0,2.0,3.0,3.0,2.5,2.0,2.5,3.5,3.5,3.0,2.0,2.5,3.5,2.0,2.0,1
347,348,1202164280,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.5,0.0,3.0,1.0,0.0,2.5,2.5,2.0,2.0,2.5,1.0,2.5,0
348,349,1202164284,3.5,3.5,3.5,3.5,3.5,2.5,3.5,4.0,0.0,4.0,3.5,3.5,3.5,3.5,2.5,4.0,4.0,3.5,2.5,0
349,350,1202164285,3.0,3.5,4.0,3.5,3.5,1.0,2.5,3.5,0.0,2.5,3.0,2.5,3.0,3.0,3.0,3.0,4.0,3.0,2.5,0
350,351,1202164286,3.0,3.5,3.0,3.5,3.5,2.5,3.5,3.0,0.0,3.5,2.0,4.0,3.5,3.5,3.5,3.0,3.5,2.5,3.0,0
351,352,1202164287,4.0,3.5,3.5,3.5,2.5,2.5,4.0,3.5,0.0,3.5,3.5,4.0,3.0,4.0,3.5,3.5,3.0,2.5,3.5,0
352,353,1202164289,4.0,3.5,3.5,3.5,3.0,3.5,3.0,4.0,0.0,3.0,2.5,3.0,4.0,4.0,3.0,2.0,3.5,4.0,2.0,0
353,354,1202164290,3.5,4.0,3.5,4.0,3.5,3.5,4.0,4.0,0.0,3.5,3.0,4.0,3.5,3.0,3.0,3.0,3.5,3.5,2.5,0
354,355,1202164298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
355,356,1202164301,3.5,3.5,4.0,3.0,3.0,2.0,2.0,3.5,0.0,2.0,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.5,2.5,0
356,357,1202164302,3.5,2.5,3.5,3.5,3.0,1.0,2.0,2.5,0.0,2.5,2.0,2.0,3.0,3.0,3.5,2.5,2.0,2.0,2.0,0
357,358,1202164304,3.5,3.5,3.5,3.5,2.5,2.0,2.5,3.5,0.0,4.0,2.0,3.5,3.0,4.0,3.5,3.0,4.0,3.5,3.0,0
358,359,1202164305,4.0,3.5,3.5,3.0,0.0,2.5,2.0,3.5,0.0,3.5,2.5,0.0,0.0,4.0,3.5,0.0,0.0,2.5,3.0,0
359,360,1202164306,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,3.5,4.0,3.5,3.5,4.0,4.0,1
360,361,1202164307,2.5,3.5,3.5,3.5,3.5,2.0,2.5,3.5,0.0,3.0,2.5,3.5,3.5,2.5,2.0,3.0,3.0,3.5,3.0,0
361,362,1202164309,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
362,363,1202164311,2.0,2.5,0.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
363,364,1202164312,4.0,3.5,2.5,3.5,4.0,2.5,4.0,3.5,0.0,3.5,2.0,2.5,3.0,4.0,3.5,3.5,2.5,2.5,3.5,0
364,365,1202164314,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.5,0.0,3.5,3.0,4.0,4.0,3.5,2.5,4.0,4.0,3.0,0.0,0
365,366,1202164315,4.0,4.0,4.0,3.5,3.5,4.0,4.0,3.5,0.0,3.5,2.5,4.0,3.5,3.5,3.5,3.0,3.5,4.0,2.5,0
366,367,1202164317,1.0,0.0,2.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,3.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,2.5,0
367,368,1202164318,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
368,369,1202164323,4.0,4.0,3.5,4.0,4.0,3.5,3.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1
369,370,1202164328,3.5,3.5,3.5,3.5,4.0,2.0,2.5,3.5,0.0,3.0,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.5,2.5,0
370,371,1202164329,3.5,3.5,4.0,3.0,3.5,2.0,2.5,3.5,0.0,3.5,2.5,2.0,3.0,3.5,3.0,3.5,3.0,2.5,2.5,0
371,372,1202164331,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,0
372,373,1202164334,3.0,3.5,3.5,4.0,3.5,1.0,2.0,3.5,0.0,2.5,2.5,3.5,4.0,3.0,2.0,3.0,3.5,3.5,2.0,0
373,374,1202164335,3.5,3.0,3.5,4.0,3.5,2.5,4.0,4.0,0.0,3.5,3.0,4.0,4.0,3.5,2.0,3.0,3.5,3.0,2.5,0
374,375,1202164344,3.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,2.0,3.5,0.0,0.0,2.5,3.5,2.0,2.0,3.0,1.0,0
375,376,1202164345,3.0,2.5,3.5,3.5,3.5,2.0,2.5,2.0,0.0,3.5,3.5,0.0,2.5,3.0,3.5,3.5,3.0,2.0,2.5,0
376,377,1202164346,3.5,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.5,2.5,2.5,0.0,2.0,3.0,0
377,378,1202164348,3.0,3.0,3.5,2.0,2.0,3.0,1.0,3.5,0.0,3.0,1.0,0.0,2.5,0.0,2.5,2.0,2.5,3.5,1.0,0
378,379,1202164349,2.0,3.5,3.5,3.5,2.0,2.0,2.0,3.5,0.0,2.5,1.0,0.0,3.0,2.0,3.5,2.5,3.0,3.5,2.0,0
379,380,1202164350,3.5,3.5,4.0,4.0,3.5,3.0,2.0,4.0,0.0,3.5,3.5,3.5,4.0,3.0,2.0,3.5,3.5,3.5,4.0,0
380,381,1202164351,2.5,2.5,3.5,3.5,3.0,0.0,2.0,3.0,0.0,2.0,2.0,2.5,3.0,1.0,1.0,2.0,2.5,2.0,0.0,0
381,382,1202164359,3.5,3.5,3.5,4.0,3.5,1.0,2.0,3.5,0.0,3.0,3.0,3.5,4.0,3.0,2.0,2.5,4.0,2.5,2.0,0
382,383,1202164361,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
383,384,1202164363,3.0,3.5,3.5,3.5,3.5,4.0,4.0,3.5,0.0,4.0,3.5,4.0,3.5,3.5,3.0,3.5,4.0,2.0,0.0,0
384,385,1202164364,4.0,3.5,4.0,4.0,4.0,3.0,2.5,4.0,0.0,4.0,2.0,3.0,3.5,3.5,3.5,3.5,2.5,2.5,2.5,0
385,386,1202164366,2.5,3.5,3.0,3.0,2.0,2.5,3.0,2.0,0.0,2.5,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.5,3.5,0
386,387,1202164367,2.5,3.5,4.0,4.0,3.0,2.5,2.0,3.0,0.0,2.5,2.5,3.0,3.5,2.0,1.0,2.0,3.5,2.5,1.0,0
387,388,1202164368,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.0,0.0,3.5,3.5,4.0,4.0,3.5,2.5,4.0,4.0,4.0,2.5,0
388,389,1202164371,3.5,3.5,3.5,2.5,3.5,2.5,3.5,4.0,0.0,3.5,4.0,3.5,3.0,2.0,3.0,3.5,4.0,2.0,3.0,0
389,390,1202164373,2.0,3.0,3.0,3.5,0.0,1.0,2.0,3.0,0.0,3.5,2.0,0.0,2.0,2.5,3.0,2.5,2.0,2.0,2.5,0
390,391,1202164374,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.5,0.0,3.0,2.0,3.0,4.0,3.5,3.0,3.5,3.5,4.0,2.5,0
391,392,1202164377,2.0,0.0,1.0,0.0,2.0,0.0,2.0,3.5,0.0,2.0,2.0,0.0,3.5,0.0,0.0,2.0,0.0,2.5,0.0,0
392,393,1202164379,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
393,394,1202164387,3.5,3.5,3.5,4.0,4.0,4.0,3.5,4.0,0.0,3.0,3.5,4.0,4.0,3.5,3.0,3.5,3.5,3.5,3.5,0
394,395,1202164388,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
395,396,1202164390,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,4.0,3.5,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,0
396,397,1202164391,4.0,3.5,3.5,4.0,3.5,4.0,4.0,4.0,0.0,3.5,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,0.0,0
397,398,1202164392,3.5,3.5,3.5,3.0,3.5,2.0,2.0,2.0,0.0,2.5,2.0,3.5,3.5,3.5,3.0,3.5,3.5,2.0,3.5,0
398,399,1202164393,0.0,3.0,3.0,2.5,0.0,0.0,1.0,2.0,0.0,2.5,2.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0
399,400,1202164394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
400,401,1202164395,2.5,4.0,3.5,3.5,2.5,2.0,3.0,3.5,0.0,2.5,2.0,3.0,3.5,2.5,3.5,3.0,3.5,3.5,2.5,0
401,402,1202164397,3.0,2.0,3.5,3.5,3.5,2.5,4.0,4.0,0.0,3.5,3.0,3.0,3.5,2.5,1.0,2.5,3.5,2.5,3.0,0
402,403,1202164399,3.0,3.0,3.5,3.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,2.5,2.5,3.0,2.5,3.0,2.5,3.0,0
