No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi
200,1202162369,3,3,0,3,3,1,3.5,2.5,2,3,2.5,2,2.5,1,2,2.5,3.5,2.5,2.5
201,1202162376,3,3,2.5,3.5,3.5,3,3,3.5,2.5,3.5,3,3.5,3.5,2.5,2,3.5,4,2.5,2.5
202,1202162378,3,2.5,1,3,3,2,3,3,2,2.5,3.5,3.5,3.5,2,2,3,3.5,2,3
203,1202162384,3.5,3.5,3.5,2.5,2,3,4,4,2.5,3.5,3,2,4,4,3,0,3.5,3.5,0
204,1202162386,2.5,3.5,2.5,3,1,1,2,3,2,2,2,2.5,3.5,3.5,2,2,3.5,2,3.5
205,1202162389,3.5,3.5,3.5,3.5,3.5,2,3,3.5,3,3,3.5,2.5,3,3.5,2,2.5,1,3,2
206,1202163018,4,3.5,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5
207,1202163060,3,3.5,2.5,3.5,2.5,1,2,3.5,2,3.5,2,0,2.5,3.5,3,2,2.5,2,2
208,1202163099,3,3.5,3.5,3.5,3,2,2,2,2,2.5,2.5,3,3.5,3.5,2,3,3,2,3.5
209,1202163104,2.5,3.5,3.5,4,3.5,0,2,3,3.5,3,2.5,4,3.5,3.5,2,2.5,3.5,2.5,2
210,1202163115,3.5,3.5,3.5,3.5,4,2.5,3,3,3,2.5,2,3.5,3.5,4,3.5,4,3.5,2.5,3
211,1202163119,3.5,3.5,3.5,3.5,4,1,3.5,4,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5
212,1202163163,4,3.5,3.5,3.5,3.5,3.5,4,3.5,3,3.5,3,4,3.5,4,3.5,3.5,3.5,2.5,3
213,1202163170,3,3.5,3.5,3.5,2.5,2,3,3.5,2.5,2,3,3,3,3,3.5,3,2,2.5,2
214,1202163220,0,0,0,3,0,0,0,1,0,3.5,3,0,0,0,0,0,0,2,2
215,1202163239,4,3.5,2.5,2.5,3,3.5,3,3.5,2.5,3,2.5,2,3.5,3,3,3,3,3.5,2
216,1202163246,4,3.5,3,3.5,3.5,3,3.5,4,2,3.5,2,3,3.5,4,3.5,3.5,3.5,3,3
217,1202163259,3.5,3.5,4,4,3.5,3.5,4,4,4,3.5,2.5,4,4,3.5,4,4,3.5,3.5,2.5
218,1202163291,3,3,2.5,1,0,1,2.5,2.5,2,3.5,2.5,2,2.5,1,1,0,2,3,3
219,1202163296,3.5,3.5,3,3.5,2,3.5,3.5,3.5,2,3.5,2.5,2.5,3,4,3.5,3.5,3,2,3
220,1202163401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3
221,1202163402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3
222,1202164001,4,3.5,3.5,4,3.5,3,3.5,4,3.5,3.5,3.5,3.5,3,4,3.5,3.5,3.5,3.5,3.5
223,1202164003,2,3,3,3.5,2.5,2,2,2,2,2.5,2,2,2.5,3,2.5,3.5,3.5,2,2
224,1202164005,4,3.5,3.5,3,2,3.5,2,3.5,2,3,2,2.5,3,4,3.5,2.5,3,3.5,1
225,1202164007,3.5,3.5,3.5,4,3.5,1,3.5,3.5,3.5,3,3.5,3.5,4,3.5,3.5,3.5,3,3.5,2.5
226,1202164008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
227,1202164012,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3,3.5,2.5,3.5,3.5,4,3.5,4,3,2.5,3
228,1202164014,3.5,3.5,3.5,3.5,2,3.5,3,3.5,3,3,2,4,3.5,2.5,2.5,2.5,3.5,3.5,2.5
229,1202164016,4,3,3.5,4,4,3.5,2.5,4,3.5,2.5,3,3.5,3.5,3,1,3.5,3.5,3,2
230,1202164017,3.5,3,2.5,3.5,3,1,2.5,3.5,2.5,2,3,3,2.5,3,2,3,2.5,3.5,2
231,1202164021,3.5,3.5,3.5,3.5,2.5,3.5,3,3.5,2.5,3.5,3.5,2.5,3.5,3.5,3,2,3,4,2
232,1202164022,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,2,2
233,1202164025,3.5,3,3.5,3.5,3.5,2,3.5,3.5,3,3,3.5,3.5,3,3.5,3.5,4,3.5,3.5,3
234,1202164026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
235,1202164027,3.5,3,3.5,3.5,3.5,3.5,3.5,2,3,2.5,2.5,3.5,3.5,4,3,3.5,3,2.5,3
236,1202164029,3.5,3.5,3.5,3.5,3,3,2.5,4,2.5,3,2,3,4,4,3.5,3,2.5,3.5,2.5
237,1202164031,3,3.5,3.5,4,3.5,4,4,4,3.5,3.5,3,3.5,4,3.5,2,4,3,3.5,3
238,1202164032,4,3,3.5,4,4,2,3.5,4,3.5,4,3.5,3.5,3.5,3.5,2.5,4,3.5,3.5,2
239,1202164033,2.5,3,3,2.5,3.5,0,2,3,2.5,2,3,0,2.5,2.5,3,2,1,3,2
240,1202164035,2.5,3,0,3,2,2.5,2,2,2.5,2.5,2,2,2.5,3,2.5,2,2.5,2,3
241,1202164037,3.5,1,3.5,3,2,2,2,3.5,2.5,3.5,2,3,3.5,3.5,3,2,3.5,3.5,2
242,1202164038,3,3.5,3.5,3.5,2.5,3.5,3,3.5,3.5,3.5,2,4,3.5,3,3,2.5,3.5,3.5,2
243,1202164039,4,4,4,4,3.5,4,4,4,3.5,3.5,3.5,4,4,3.5,4,3.5,3.5,3.5,3.5
244,1202164040,3,3.5,3.5,4,3.5,2.5,3.5,4,3,4,3.5,4,3.5,3,2.5,3,3.5,2.5,3.5
245,1202164049,0,0,0,0,0,0,1,3,0,2,2.5,0,0,0,0,0,0,0,3.5
246,1202164056,2.5,3,3.5,3.5,3.5,2.5,2.5,3,3.5,2.5,3.5,4,3.5,3,2.5,2.5,3.5,2.5,2.5
247,1202164058,4,3.5,3.5,4,4,2.5,3.5,4,4,4,3.5,2.5,3.5,4,4,4,3.5,4,2.5
248,1202164064,2,2.5,3.5,3.5,3,0,1,3.5,1,2.5,2.5,3.5,3.5,2,1,2,3,2,2.5
249,1202164065,3.5,3.5,3.5,3.5,3.5,2,3.5,3.5,3,3,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
250,1202164068,3,3.5,2.5,3,3.5,2,2.5,4,2.5,3,1,2.5,3.5,4,3,3,2.5,2,2
251,1202164069,2.5,3,3.5,2.5,2,2.5,2,3.5,2,2.5,1,1,3,3.5,2.5,2,2,3.5,3
252,1202164071,3,3.5,3.5,3.5,3.5,2,2.5,3.5,3.5,3,2.5,3.5,3.5,2.5,1,2,3,3,2
253,1202164072,4,3.5,3.5,4,4,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,2,4,3.5,3,3
254,1202164073,3.5,3.5,3,3.5,3.5,2.5,2,4,2.5,3.5,3.5,3.5,3,3.5,2.5,2.5,3.5,2.5,2.5
255,1202164075,0,1,1,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,2.5
256,1202164077,3.5,3.5,3.5,3.5,3,3.5,3.5,4,2.5,3,2.5,3.5,3.5,4,3.5,3.5,3.5,4,2
257,1202164078,0,2,3.5,3,2,2,1,2,2.5,2.5,1,0,2,1,2.5,2,2,3,2.5
258,1202164079,2.5,3.5,3.5,3.5,3,2,2.5,3,3,3,2.5,3.5,3.5,2,2,2,3,3,2.5
259,1202164081,3.5,3.5,3.5,3.5,3.5,2.5,3,3.5,2.5,2.5,3.5,3.5,3.5,3,3.5,3,3.5,3,2.5
260,1202164085,4,3.5,3.5,3.5,4,3.5,3.5,4,4,3.5,2,3.5,3.5,4,4,4,3,4,2.5
261,1202164087,4,4,3.5,4,4,3.5,4,4,4,4,3.5,4,4,3.5,4,4,4,4,3.5
262,1202164090,3.5,3,3,3.5,3.5,2.5,3,3.5,3,3.5,3,4,2.5,3,3,3,2.5,2.5,2
263,1202164091,3,3.5,2.5,3.5,3,1,2,2.5,2,3,1,2.5,3,3.5,2.5,3.5,3,2,3
264,1202164092,4,4,3.5,4,3.5,3.5,4,4,3,3.5,2,3.5,3.5,4,4,4,3,3.5,2.5
265,1202164094,2,3,3,3,1,2.5,3.5,2,2,3,1,0,2,2,2.5,2,1,3.5,2.5
266,1202164100,0,0,0,0,0,0,2,0,0,3.5,0,0,0,0,0,0,0,0,2.5
267,1202164102,3,2.5,2,3,0,2,3.5,2,0,2.5,0,0,0,0,3,0,0,3.5,2.5
268,1202164106,3.5,2.5,3,3,3.5,2,1,2.5,2.5,2.5,2,2.5,3,3.5,3,2.5,2,2,3.5
269,1202164108,0,0,0,0,0,0,1,0,0,3.5,0,0,0,0,0,0,0,0,3.5
270,1202164109,3,3.5,3,2.5,2,3,1,3,2.5,3,1,2,3.5,2.5,2,2,2.5,3,1
271,1202164113,4,4,3.5,4,3.5,4,4,4,3.5,3.5,3.5,4,4,3.5,3.5,3.5,4,3.5,3.5
272,1202164114,3.5,3.5,3.5,4,3.5,3,4,3.5,3,3.5,3.5,4,3.5,3.5,3,4,3,2.5,3.5
273,1202164116,3.5,3.5,2,3.5,3.5,2,3.5,3.5,2.5,3,2,2.5,3,3.5,3.5,3,2.5,2,3
274,1202164121,4,3.5,3.5,3.5,4,3.5,3.5,4,2.5,3.5,3.5,4,4,3.5,4,4,3.5,4,4
275,1202164122,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,4,4,3.5,4,4,4,3,4,4,3,3.5
276,1202164123,4,4,4,3.5,2.5,3,2,4,3,2,3.5,2.5,3.5,4,4,3.5,4,3,3
277,1202164125,4,3.5,3.5,3.5,3.5,4,4,4,3.5,3.5,2.5,4,4,4,3.5,3,3.5,4,2.5
278,1202164128,2.5,3,3.5,4,3.5,1,3,3.5,3,3,2.5,3.5,4,2,2,2,3.5,3,2
279,1202164129,4,3.5,4,3.5,4,3.5,4,4,3.5,4,4,4,3.5,4,4,4,4,4,3.5
280,1202164131,4,3.5,3.5,3.5,3.5,3.5,4,4,3,3.5,2,4,3.5,4,3.5,3,3.5,3,3
281,1202164136,3.5,3.5,3.5,4,3.5,3.5,4,4,3.5,3.5,2.5,4,4,3.5,2,3.5,3.5,2.5,2
282,1202164139,3.5,3.5,3,3.5,3.5,1,2,3.5,2,2.5,2,2,3,4,3,2,3.5,2,3
283,1202164140,4,4,3,4,4,2.5,3.5,3.5,3,4,2.5,3.5,3.5,4,3.5,4,3.5,3.5,3.5
284,1202164142,3.5,3.5,4,3.5,3,3.5,4,4,3.5,3.5,3,4,3.5,3.5,3.5,3.5,4,4,3
285,1202164143,3.5,4,4,4,4,4,4,4,3.5,3.5,3,4,4,3.5,2,3,3.5,3.5,3.5
286,1202164146,4,3.5,4,4,4,3.5,3.5,3.5,4,4,3.5,3.5,3.5,4,3.5,4,4,3,2.5
287,1202164147,3.5,3.5,3.5,3.5,2,3,3,3.5,2,2.5,2,2,2.5,4,2.5,2.5,3,2,2.5
288,1202164149,3,3.5,3.5,3.5,2.5,3.5,2,3.5,2.5,3.5,2,2.5,4,4,2.5,2.5,3.5,3.5,2.5
289,1202164150,3.5,4,4,3.5,3.5,3,2.5,4,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4,4,3.5
290,1202164152,0,3,3,3.5,2.5,1,2,3.5,2,2.5,2.5,2.5,3,2,2,1,3,2.5,2
291,1202164156,4,4,3,4,4,3.5,4,4,4,4,2.5,4,3.5,4,3.5,4,4,3.5,3.5
292,1202164157,3.5,3,3.5,3.5,3.5,2.5,2,4,2.5,3,2,2,3,3.5,3.5,2,3,4,1
293,1202164158,3,4,3.5,3.5,2.5,2.5,3,4,3.5,3.5,2,3,2,3,3.5,3.5,3.5,4,2
294,1202164159,1,2,3.5,3.5,2,0,2.5,2.5,2,3.5,2,2,0,1,0,2,3,3,1
295,1202164161,3.5,3.5,3.5,3.5,3.5,3,3,3.5,3.5,3,3.5,3.5,2.5,3.5,3.5,3,3,3.5,2
296,1202164162,3,3,0,3,2,2,2,2,2.5,2.5,2,0,0,2,2,2,2,2,2
297,1202164164,0,0,0,0,0,0,3,2,0,3.5,0,0,0,0,0,0,0,0,2
298,1202164165,4,4,3.5,3.5,3.5,4,3.5,3.5,3,4,3.5,4,3.5,3.5,3,3.5,4,3.5,0
299,1202164166,2,3.5,3.5,2.5,2,3.5,3,4,2.5,3,2,1,3,4,2.5,2.5,2.5,3.5,2
300,1202164168,3.5,3.5,3.5,4,3.5,2,2,3.5,3.5,3,2.5,3.5,3.5,2.5,2.5,3,3.5,3,2.5
301,1202164172,4,4,4,4,4,4,4,4,2.5,4,2,4,4,4,4,4,4,3.5,3.5
302,1202164174,4,3.5,3.5,3,3,2,2,3.5,2,3,2.5,2,3,2,3,2,2.5,3.5,4
303,1202164176,3,3,3.5,3.5,3.5,2,3.5,3.5,2,3,2.5,3.5,3.5,2.5,1,3.5,3.5,2.5,2
304,1202164177,3,3.5,3.5,4,3.5,4,4,4,3.5,4,3.5,4,4,3.5,2,3.5,3.5,2.5,3
305,1202164181,2.5,3.5,0,3.5,2,1,1,1,2.5,3.5,2,0,2.5,0,0,2.5,0,2,2
306,1202164187,3,3.5,3,3.5,3.5,1,2,2,2.5,2,2.5,3.5,3,3.5,3.5,3.5,2.5,2,3
307,1202164188,3.5,3.5,3.5,3.5,2,3,3,2.5,2,3.5,2,3.5,2.5,4,3,3,3.5,2.5,3
308,1202164189,3.5,3.5,3,3.5,2.5,2.5,3.5,4,2.5,3.5,2.5,3.5,3,4,3,3.5,3,3,3
309,1202164193,4,3.5,4,4,4,4,4,4,4,4,4,4,4,3.5,3,4,4,4,2.5
310,1202164194,4,3,3.5,3.5,3.5,2,3.5,3.5,3.5,3,4,3.5,2.5,3.5,3.5,4,3.5,4,3.5
311,1202164199,0,0,0,0,0,0,3.5,2,0,3.5,2,0,0,0,0,0,0,0,3.5
312,1202164201,3.5,3,3,4,4,3.5,4,4,3.5,3,3,3.5,4,3,2,3,3.5,3,2
313,1202164203,3.5,3.5,4,3.5,3.5,4,4,4,3.5,4,3.5,4,3.5,4,2.5,3.5,4,2.5,3
314,1202164204,4,3.5,3.5,3.5,4,3.5,4,4,3,3.5,2.5,3.5,3.5,4,3,3.5,3,2,3.5
315,1202164207,4,3.5,4,3.5,4,3,4,4,4,4,2,3.5,3.5,3.5,3.5,4,3.5,4,3
316,1202164208,2,1,3.5,2,0,1,2.5,3.5,2,2,2.5,3,0,2,1,0,0,2.5,0
317,1202164209,2,2,3.5,3.5,3.5,0,1,3.5,2,2.5,2.5,2.5,3,2,1,1,2.5,2,1
318,1202164211,2.5,2,3,3,3.5,2,2,2.5,2,2.5,2.5,3.5,3,2.5,3,3,2,2,2
319,1202164213,4,4,3.5,3.5,4,3.5,4,4,4,3.5,3.5,3.5,3.5,4,4,4,4,3.5,3.5
320,1202164221,3.5,3,2.5,3,2,2,1,3.5,2,3,2,2,2.5,2,2,2,2,2,2
321,1202164223,3.5,3.5,4,3.5,3,3.5,3.5,4,3.5,4,2.5,3.5,3.5,3,3.5,3.5,4,4,2.5
322,1202164224,3.5,3.5,3.5,4,4,3.5,4,4,3,3.5,2.5,4,4,3.5,3,3.5,3.5,3.5,3.5
323,1202164225,4,3,4,4,3.5,3.5,3.5,4,3,4,3.5,4,4,3.5,2.5,4,3.5,3,3
324,1202164226,3,0,0,0,0,2,3,2.5,0,2,2,0,0,0,0,0,0,2.5,0
325,1202164230,3,3.5,3.5,3.5,3.5,3,3.5,3.5,3,3.5,2,3,3.5,4,3,3.5,3,2.5,3
326,1202164231,2,2,2,0,0,3,1,1,1,3,1,0,2,0,2,2,0,2,1
327,1202164233,3,3,3.5,4,3,1,3.5,3.5,3.5,3,2.5,3.5,3.5,3,1,2.5,3,3,2.5
328,1202164235,3.5,3,0,2.5,2,0,1,3.5,2,2.5,2.5,2,2,2.5,3,2.5,2,2.5,2
329,1202164238,4,3,3.5,3.5,2.5,2,2.5,3.5,2.5,3.5,2.5,3,3,4,2.5,3,3.5,2.5,2.5
330,1202164241,3,3.5,3,3.5,4,3.5,4,4,3.5,3,3,3.5,4,3,2.5,3.5,3.5,3,3.5
331,1202164242,3.5,3.5,4,4,3.5,3.5,3.5,4,3.5,3,3,3,4,3.5,2,3.5,3.5,2.5,3
332,1202164243,3,3,3.5,3.5,3.5,2.5,2,3.5,2.5,2.5,3,3,2.5,3,2,3,3.5,3,2.5
333,1202164244,3,3.5,3.5,4,3.5,2,2.5,3.5,3,3,3,3.5,3.5,3.5,3,3.5,3,2,3
334,1202164245,4,3.5,4,3.5,4,4,4,3.5,3.5,4,2.5,4,4,4,3.5,4,3,3,3.5
335,1202164249,2.5,3.5,4,3.5,3.5,1,3,3.5,3,3.5,2.5,3.5,4,3,2,3.5,4,3.5,2.5
336,1202164250,3.5,3.5,2,4,3,1,3.5,3.5,1,3,2.5,3.5,4,0,2,2.5,3.5,1,2
337,1202164254,2.5,3.5,2,3,3,3.5,2.5,3.5,2.5,2,3,2.5,3.5,3,2,2.5,3.5,2,3
338,1202164260,4,3.5,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,3,3.5,3
339,1202164261,3.5,3.5,3.5,4,3.5,3,2.5,4,2,3,3.5,3.5,3.5,4,3,3.5,3,2.5,2.5
340,1202164263,3.5,3.5,4,3.5,2.5,2,2.5,3.5,3.5,3.5,2,3.5,3,3.5,2,2.5,3,2,2.5
341,1202164270,3.5,3,4,3.5,2,3,2.5,3,2.5,3.5,2,3,2.5,4,3,3.5,3,2,2.5
342,1202164271,3.5,3,2.5,3,2,1,1,3,2,3.5,1,0,0,3.5,2,2,0,1,2
343,1202164272,4,3.5,3.5,3,2,2,1,3,2,2.5,2,0,3.5,3,2,2,2.5,3,1
344,1202164273,4,4,4,3.5,3.5,3.5,4,3.5,4,3.5,3,3.5,3.5,2.5,4,3,3.5,4,2.5
345,1202164275,2,3,3.5,3.5,3.5,0,1,3.5,3,2.5,2.5,3,3,2,2,2,3.5,2,2
346,1202164276,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3,4,3.5,3
347,1202164279,2.5,3,3,3.5,3,2,3,3,2.5,2,2.5,3.5,3.5,3,2,2.5,3.5,2,2
348,1202164280,3,3,2,3,1,1,2,2.5,0,3,1,0,2.5,2.5,2,2,2.5,1,2.5
349,1202164284,3.5,3.5,3.5,3.5,3.5,2.5,3.5,4,0,4,3.5,3.5,3.5,3.5,2.5,4,4,3.5,2.5
350,1202164285,3,3.5,4,3.5,3.5,1,2.5,3.5,0,2.5,3,2.5,3,3,3,3,4,3,2.5
351,1202164286,3,3.5,3,3.5,3.5,2.5,3.5,3,0,3.5,2,4,3.5,3.5,3.5,3,3.5,2.5,3
352,1202164287,4,3.5,3.5,3.5,2.5,2.5,4,3.5,0,3.5,3.5,4,3,4,3.5,3.5,3,2.5,3.5
353,1202164289,4,3.5,3.5,3.5,3,3.5,3,4,0,3,2.5,3,4,4,3,2,3.5,4,2
354,1202164290,3.5,4,3.5,4,3.5,3.5,4,4,0,3.5,3,4,3.5,3,3,3,3.5,3.5,2.5
355,1202164298,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2.5
356,1202164301,3.5,3.5,4,3,3,2,2,3.5,0,2,3,3,3,3.5,3.5,3.5,3,3.5,2.5
357,1202164302,3.5,2.5,3.5,3.5,3,1,2,2.5,0,2.5,2,2,3,3,3.5,2.5,2,2,2
358,1202164304,3.5,3.5,3.5,3.5,2.5,2,2.5,3.5,0,4,2,3.5,3,4,3.5,3,4,3.5,3
359,1202164305,4,3.5,3.5,3,0,2.5,2,3.5,0,3.5,2.5,0,0,4,3.5,0,0,2.5,3
360,1202164306,4,4,4,4,4,4,4,4,0,4,3,4,4,3.5,4,3.5,3.5,4,4
361,1202164307,2.5,3.5,3.5,3.5,3.5,2,2.5,3.5,0,3,2.5,3.5,3.5,2.5,2,3,3,3.5,3
362,1202164309,0,0,0,0,0,0,3.5,0,0,2.5,0,0,0,0,0,0,0,0,3
363,1202164311,2,2.5,0,3,0,1,2,2,0,2,2,0,0,0,0,0,0,0,0
364,1202164312,4,3.5,2.5,3.5,4,2.5,4,3.5,0,3.5,2,2.5,3,4,3.5,3.5,2.5,2.5,3.5
365,1202164314,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,0,3.5,3,4,4,3.5,2.5,4,4,3,0
366,1202164315,4,4,4,3.5,3.5,4,4,3.5,0,3.5,2.5,4,3.5,3.5,3.5,3,3.5,4,2.5
367,1202164317,1,0,2,0,0,0,2.5,2.5,0,2.5,3,2.5,2,0,0,0,0,0,2.5
368,1202164318,0,0,0,0,0,0,2,3,0,2,2,0,0,0,0,0,0,0,2.5
369,1202164323,4,4,3.5,4,4,3.5,3,4,0,4,3,4,4,4,4,4,4,4,3
370,1202164328,3.5,3.5,3.5,3.5,4,2,2.5,3.5,0,3,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,2.5
371,1202164329,3.5,3.5,4,3,3.5,2,2.5,3.5,0,3.5,2.5,2,3,3.5,3,3.5,3,2.5,2.5
372,1202164331,4,4,3,4,4,3,4,4,0,4,3,4,4,4,3.5,3.5,3.5,3.5,3.5
373,1202164334,3,3.5,3.5,4,3.5,1,2,3.5,0,2.5,2.5,3.5,4,3,2,3,3.5,3.5,2
374,1202164335,3.5,3,3.5,4,3.5,2.5,4,4,0,3.5,3,4,4,3.5,2,3,3.5,3,2.5
375,1202164344,3,0,0,3,3,0,2,1,0,2,3.5,0,0,2.5,3.5,2,2,3,1
376,1202164345,3,2.5,3.5,3.5,3.5,2,2.5,2,0,3.5,3.5,0,2.5,3,3.5,3.5,3,2,2.5
377,1202164346,3.5,0,0,3,0,1,0,1,0,2,2,2,0,2.5,2.5,2.5,0,2,3
378,1202164348,3,3,3.5,2,2,3,1,3.5,0,3,1,0,2.5,0,2.5,2,2.5,3.5,1
379,1202164349,2,3.5,3.5,3.5,2,2,2,3.5,0,2.5,1,0,3,2,3.5,2.5,3,3.5,2
380,1202164350,3.5,3.5,4,4,3.5,3,2,4,0,3.5,3.5,3.5,4,3,2,3.5,3.5,3.5,4
381,1202164351,2.5,2.5,3.5,3.5,3,0,2,3,0,2,2,2.5,3,1,1,2,2.5,2,0
382,1202164359,3.5,3.5,3.5,4,3.5,1,2,3.5,0,3,3,3.5,4,3,2,2.5,4,2.5,2
383,1202164361,0,0,0,0,0,0,1,3.5,0,3.5,2.5,0,0,0,0,0,0,0,2
384,1202164363,3,3.5,3.5,3.5,3.5,4,4,3.5,0,4,3.5,4,3.5,3.5,3,3.5,4,2,0
385,1202164364,4,3.5,4,4,4,3,2.5,4,0,4,2,3,3.5,3.5,3.5,3.5,2.5,2.5,2.5
386,1202164366,2.5,3.5,3,3,2,2.5,3,2,0,2.5,2,3,3,2,3,2,3,3.5,3.5
387,1202164367,2.5,3.5,4,4,3,2.5,2,3,0,2.5,2.5,3,3.5,2,1,2,3.5,2.5,1
388,1202164368,4,3.5,4,4,3.5,4,4,4,0,3.5,3.5,4,4,3.5,2.5,4,4,4,2.5
389,1202164371,3.5,3.5,3.5,2.5,3.5,2.5,3.5,4,0,3.5,4,3.5,3,2,3,3.5,4,2,3
390,1202164373,2,3,3,3.5,0,1,2,3,0,3.5,2,0,2,2.5,3,2.5,2,2,2.5
391,1202164374,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,0,3,2,3,4,3.5,3,3.5,3.5,4,2.5
392,1202164377,2,0,1,0,2,0,2,3.5,0,2,2,0,3.5,0,0,2,0,2.5,0
393,1202164379,0,0,0,0,0,0,2,0,0,2.5,2,0,0,0,0,0,0,0,0
394,1202164387,3.5,3.5,3.5,4,4,4,3.5,4,0,3,3.5,4,4,3.5,3,3.5,3.5,3.5,3.5
395,1202164388,0,0,0,0,0,0,1,1,0,2.5,2,0,0,0,0,0,0,0,3.5
396,1202164390,4,4,4,4,4,3,4,4,0,4,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5
397,1202164391,4,3.5,3.5,4,3.5,4,4,4,0,3.5,4,4,4,4,3.5,4,4,4,0
398,1202164392,3.5,3.5,3.5,3,3.5,2,2,2,0,2.5,2,3.5,3.5,3.5,3,3.5,3.5,2,3.5
399,1202164393,0,3,3,2.5,0,0,1,2,0,2.5,2,0,0,0,2.5,0,0,0,2
400,1202164394,0,0,0,0,0,0,1,1,0,2,1,0,0,0,2,0,0,0,2
401,1202164395,2.5,4,3.5,3.5,2.5,2,3,3.5,0,2.5,2,3,3.5,2.5,3.5,3,3.5,3.5,2.5
402,1202164397,3,2,3.5,3.5,3.5,2.5,4,4,0,3.5,3,3,3.5,2.5,1,2.5,3.5,2.5,3
403,1202164399,3,3,3.5,3,3,2,2,3,0,3,3,2,2.5,2.5,3,2.5,3,2.5,3